Регион, Плотность
Алтайский край, 13.79
Амурская область, 2.18
Архангельская область, 1.93
Астраханская область, 20.52
Белгородская область, 57.09
Брянская область, 34.21
Владимирская область, 46.71
Волгоградская область, 22.07
Вологодская область, 8.02
Воронежская область, 44.51
Еврейская АО, 4.36
Забайкальский край, 2.45
Ивановская область, 46.51
Иркутская область, 3.09
Кабардино-Балкарская Республика, 69.64
Калининградская область, 66.94
Калужская область, 33.67
Камчатский край, 0.67
Карачаево-Черкесская Республика, 32.61
Кемеровская область, 27.77
Кировская область, 10.49
Костромская область, 10.52
Краснодарский край, 75.19
Красноярский край, 1.21
Курганская область, 11.57
Курская область, 36.8
Ленинградская область, 22.36
Липецкая область, 47.38
Магаданская область, 0.30
Москва, 4950.43
Московская область, 173.50
Мурманская область, 5.12
Ненецкий АО, 0.25
Нижегородская область, 41.80
Новгородская область, 10.94
Новосибирская область, 15.74
Омская область, 13.65
Оренбургская область, 15.82
Орловская область, 29.75
Пензенская область, 30.12
Пермский край, 16.22
Приморский край, 11.51
Псковская область, 11.30
Республика Адыгея, 59.43
Республика Алтай, 2.37
Республика Башкортостан, 28.25
Республика Бурятия, 2.81
Республика Дагестан, 61.88
Республика Ингушетия, 162.36
Республика Калмыкия, 3.63
Республика Карелия, 3.40
Республика Коми, 1.97
Республика Крым, 73.33
Республика Марий Эл, 29.07
Республика Мордовия, 30.24
Республика Саха (Якутия), 0.32
Республика Северная Осетия, 87.25
Республика Татарстан, 57.52
Республика Тыва, 1.94
Республика Хакасия, 8.68
Ростовская область, 41.58
Рязанская область, 28.00
Самарская область, 59.36
Санкт-Петербург, 3847.52
Саратовская область, 23.92
Сахалинская область, 5.61
Свердловская область, 22.18
Севастополь, 519.84
Смоленская область, 18.78
Ставропольский край, 42.38
Тамбовская область, 29.21
Тверская область, 14.97
Томская область, 3.43
Тульская область, 57.09
Тюменская область, 2.57
Удмуртская Республика, 35.69
Ульяновская область, 33.08
Хабаровский край, 1.67
Ханты-Мансийский АО — Югра, 3.13
Челябинская область, 39.15
Чеченская Республика, 91.48
Чувашская Республика, 66.39
Чукотский АО, 0.07
Ямало-Ненецкий АО, 0.71
Ярославская область, 34.65
